752 9628
0 0 3
0 1 -0.5
0 2 -0.5
0 3 -0.5
0 4 -0.5
0 349 -0.5
1 0 -0.5
1 1 2
1 2 -0.5
1 175 -1
2 0 -0.5
2 1 -0.5
2 2 2
2 248 -1
3 0 -0.5
3 3 2.25
3 4 -0.5
3 5 -0.25
3 7 -0.25
3 10 -0.5
4 0 -0.5
4 3 -0.5
4 4 3.5
4 5 -1
4 7 -0.25
4 10 -1
5 3 -0.25
5 4 -1
5 5 2.75
5 6 -1
5 7 -0.25
6 5 -1
6 6 3
6 113 -0.0666667
6 443 -0.0666667
6 447 -0.0666667
6 450 -0.0666667
6 466 -0.333333
6 503 -0.333333
6 730 -0.0666667
6 731 -0.0666667
6 732 -0.0666667
6 733 -0.0666667
6 734 -0.0666667
6 735 -0.0666667
6 736 -0.0666667
6 737 -0.0666667
6 738 -0.0666667
6 739 -0.0666667
6 740 -0.0666667
7 3 -0.25
7 4 -0.25
7 5 -0.25
7 7 4
7 8 -1
7 92 -0.5
7 673 -0.333333
7 697 -0.5
7 718 -0.333333
8 7 -1
8 8 3
8 9 -1
8 11 -1
9 8 -1
9 9 2
9 141 -0.0588235
9 160 -0.0588235
9 233 -0.0588235
9 363 -0.0588235
9 364 -0.0588235
9 385 -0.0588235
9 386 -0.0588235
9 450 -0.0588235
9 456 -0.0588235
9 466 -0.0588235
9 492 -0.0588235
9 521 -0.0588235
9 607 -0.0588235
9 626 -0.0588235
9 698 -0.0588235
9 747 -0.0588235
10 3 -0.5
10 4 -1
10 10 1.5
11 8 -1
11 11 2
11 114 -0.1
11 116 -0.1
11 133 -0.1
11 445 -0.1
11 449 -0.1
11 452 -0.1
11 454 -0.1
11 463 -0.1
11 467 -0.1
11 638 -0.1
12 12 3.16667
12 13 -0.333333
12 14 -0.333333
12 15 -0.111111
12 16 -0.125
12 20 -0.125
12 28 -0.125
12 33 -0.125
12 36 -0.333333
12 44 -0.125
12 45 -0.111111
12 48 -0.125
12 50 -0.111111
12 51 -0.111111
12 61 -0.125
12 64 -0.125
12 113 -0.111111
12 118 -0.111111
13 12 -0.333333
13 13 3.77778
13 14 -0.333333
13 15 -0.111111
13 17 -0.5
13 22 -0.5
13 23 -1
13 36 -0.333333
13 45 -0.111111
13 50 -0.111111
13 51 -0.111111
13 61 -0.111111
13 113 -0.111111
13 118 -0.111111
14 12 -0.333333
14 13 -0.333333
14 14 3.77778
14 15 -0.111111
14 18 -0.333333
14 29 -0.333333
14 33 -0.333333
14 36 -0.333333
14 45 -0.111111
14 50 -0.111111
14 51 -0.111111
14 61 -0.111111
14 63 -0.333333
14 108 -0.333333
14 112 -0.333333
14 113 -0.111111
14 118 -0.111111
15 12 -0.111111
15 13 -0.111111
15 14 -0.111111
15 15 3.88889
15 21 -1
15 34 -0.333333
15 36 -0.0769231
15 45 -0.111111
15 50 -0.111111
15 51 -0.111111
15 61 -0.111111
15 113 -0.111111
15 117 -0.333333
15 118 -0.0769231
15 142 -0.333333
15 151 -0.0769231
15 158 -0.0769231
15 316 -0.0769231
15 332 -0.0769231
15 336 -0.0769231
15 337 -0.0769231
15 338 -0.0769231
15 339 -0.0769231
15 340 -0.0769231
15 458 -0.0769231
15 569 -0.0769231
16 12 -0.125
16 16 4
16 17 -0.2
16 18 -0.2
16 20 -0.125
16 28 -0.125
16 33 -0.125
16 35 -1
16 44 -0.125
16 48 -0.125
16 61 -0.125
16 64 -0.125
16 316 -0.5
16 329 -0.2
16 346 -0.5
16 450 -0.2
16 455 -0.2
17 13 -0.5
17 16 -0.2
17 17 4
17 18 -0.2
17 22 -0.5
17 29 -1
17 137 -0.0769231
